a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p
-0.14504317939281464,-0.36094895005226135,-0.11798491328954697,0.1618494987487793,-0.182158425450325,0.6922664046287537,0.3901224136352539,0.010706273838877678,0.1287715584039688,0.1267794817686081,-0.3628503680229187,-0.1469442993402481,-0.20822307467460632,-0.49568045139312744,-0.6031249761581421,0.48207417130470276
-0.6542201638221741,-0.13547205924987793,0.24017566442489624,0.28435760736465454,0.3017124533653259,0.03043219819664955,0.9827964305877686,1.0793349742889404,-0.4916646480560303,0.19216127693653107,-0.4597781002521515,-0.5322133898735046,0.09002110362052917,0.6612927317619324,-0.5177954435348511,-0.22187797725200653
-1.0364024639129639,-0.499438613653183,-0.49589571356773376,0.5260127782821655,0.08520837873220444,0.5048486590385437,0.27425792813301086,0.5858826637268066,0.10999023169279099,0.015747906640172005,-0.29787927865982056,-1.042104721069336,0.4544939696788788,-0.40862956643104553,-1.00725257396698,-0.3272230923175812
0.25997233390808105,0.12670248746871948,-0.2233104556798935,-0.4175920784473419,0.11961257457733154,0.8187040090560913,0.6650833487510681,0.12551023066043854,-0.5262792110443115,-0.13203342258930206,-0.5673428177833557,0.07637981325387955,0.18631260097026825,-0.024056773632764816,0.0671895369887352,0.45163312554359436
-1.0876539945602417,-0.17931899428367615,0.10215524584054947,-0.5040314793586731,-0.043728020042181015,0.06095527857542038,-0.1332855522632599,0.08930940181016922,-0.0691252276301384,-0.8795181512832642,-0.2864237129688263,0.20288613438606262,0.06722403317689896,0.301670640707016,0.06874065101146698,0.3357108533382416
-0.4455702304840088,-0.39348745346069336,-0.03320452198386192,0.30979597568511963,0.04330683499574661,0.3227025866508484,1.0886715650558472,1.4498504400253296,-0.5804217457771301,0.5842586159706116,-0.610322117805481,-0.2965620756149292,0.3707283139228821,-0.3840336203575134,0.02889477275311947,-0.45055437088012695
-0.9107921123504639,0.07079130411148071,-0.20454494655132294,0.24235032498836517,0.2068711817264557,0.5684381723403931,0.7385531067848206,0.4711928069591522,-0.4306178390979767,0.02693095989525318,-0.10973956435918808,-0.41342663764953613,0.11542873084545135,0.11888968199491501,-0.14015065133571625,-0.00992934126406908
-0.38104158639907837,-1.029676914215088,0.25576820969581604,0.08798384666442871,0.23758697509765625,-0.02833383157849312,1.69443941116333,0.936689019203186,-0.7647677063941956,0.9556198120117188,0.35000357031822205,-0.4411032497882843,0.8732602000236511,-1.1878139972686768,-0.563940703868866,0.2841150164604187
-0.5125758051872253,-0.497785747051239,-0.044124163687229156,0.6207897663116455,0.27688485383987427,0.32884103059768677,0.5816344022750854,0.24538840353488922,-0.2427576184272766,0.23886874318122864,-0.26094797253608704,-0.2933645248413086,0.2936406135559082,-0.07061577588319778,-0.672663688659668,-0.1492663472890854
-0.308421790599823,-1.2579280138015747,0.3883996307849884,0.7936732172966003,0.07936247438192368,0.5132566690444946,0.029358727857470512,-0.1625567078590393,-0.2419009804725647,0.06906245648860931,-0.09102490544319153,-0.22247973084449768,-0.27181339263916016,-0.489249050617218,-0.9237987399101257,-0.4354412257671356
-0.7290483117103577,-0.5092397332191467,0.5800887942314148,0.46249181032180786,0.1488080471754074,0.6471700072288513,1.1729133129119873,0.6156085729598999,-0.7794309854507446,0.5905555486679077,-0.3036688566207886,-0.9219691753387451,0.22256942093372345,-0.2932482957839966,-1.4027305841445923,-0.5236954689025879
-0.37676894664764404,0.025477314367890358,-0.006195464637130499,0.027315761893987656,0.7264273166656494,1.044152021408081,0.7257424592971802,1.2230241298675537,-0.009814945049583912,0.30930590629577637,-0.7279437184333801,0.2019156664609909,-0.22197385132312775,0.7982360124588013,-1.0032087564468384,-0.43294382095336914
-0.2970832884311676,-0.45994579792022705,-0.1233072429895401,0.5715029239654541,-0.24069401621818542,0.6501786708831787,-0.04505649954080582,0.6773439049720764,-0.5020233392715454,-0.4163709878921509,0.06435342133045197,-0.2279469519853592,0.15965327620506287,-0.45617175102233887,-0.6523742079734802,0.17903198301792145
-0.6751768589019775,-0.6878964304924011,-0.485036164522171,0.5195825099945068,-0.1635688841342926,0.82645183801651,0.4512314796447754,0.31426313519477844,-0.9559652805328369,-0.35499152541160583,-0.15702439844608307,0.2671804428100586,-0.27782583236694336,0.7394792437553406,-0.6944442391395569,-0.033349744975566864
0.010070527903735638,-0.109595388174057,0.07934188842773438,-0.08881769329309464,0.8571417927742004,-0.6784396767616272,0.020048106089234352,0.16965541243553162,-0.3279905319213867,-0.08979226648807526,0.019932802766561508,0.5693444013595581,-0.11852201074361801,0.3326113224029541,-0.8292544484138489,0.061666589230298996
-0.24659818410873413,-0.17759983241558075,0.9144666790962219,0.205389603972435,0.4548155665397644,0.8650201559066772,0.35380834341049194,0.23504890501499176,0.3312709927558899,0.47336748242378235,-0.6886148452758789,0.1912810504436493,-0.5782102346420288,0.12274522334337234,-0.48997798562049866,0.3159996569156647
